barcode,manifest_sno,freezer_no,normalized_barcode
ET-AA-YE-Y12H-24,119.0,,et-aa-ye-y12h-24
ET-AA-YE-Y12H-31,120.0,,et-aa-ye-y12h-31
ET-AA-KK-W10-KHC-6,121.0,,et-aa-kk-w10-khc-6
ET-AA-KK-W10-KHC-10,122.0,,et-aa-kk-w10-khc-10
ET-AA-YE-Y12H-45,123.0,,et-aa-ye-y12h-45
ET-AA-YE-Y12H-44,124.0,,et-aa-ye-y12h-44
ET-AA-YE-Y12H-37,125.0,,et-aa-ye-y12h-37
ET-AA-KK-W10-KHC-6,126.0,,et-aa-kk-w10-khc-6
ET-AA-YE-Y12H-30,127.0,,et-aa-ye-y12h-30
ET-AA-YE-Y12H-25,128.0,,et-aa-ye-y12h-25
ET-SN-HA-HA-HH-008,129.0,,et-sn-ha-ha-hh-008
ET-SN-HA-HA-HH-016,130.0,,et-sn-ha-ha-hh-016
ET-SN-HA-HA-HH-017,131.0,,et-sn-ha-ha-hh-017
ET-SN-HA-HA-HH-020,132.0,,et-sn-ha-ha-hh-020
ET-SN-HA-HA-HH-020,133.0,,et-sn-ha-ha-hh-020
ET-SN-HA-HA-HH-019,134.0,,et-sn-ha-ha-hh-019
ET-SN-HA-HA-HH-012,135.0,,et-sn-ha-ha-hh-012
ET-SN-HA-HA-HH-012,136.0,,et-sn-ha-ha-hh-012
ET-AA-YE-Y12H-28,137.0,,et-aa-ye-y12h-28
ET-SN-HA-HA-HH-009,138.0,,et-sn-ha-ha-hh-009
ET-SN-HA-HA-HH-003,139.0,,et-sn-ha-ha-hh-003
ET-SN-HA-HA-HH-006,140.0,,et-sn-ha-ha-hh-006
ET-SN-HA-HA-HH-001,141.0,,et-sn-ha-ha-hh-001
ET-SN-HA-HA-HH-007,142.0,,et-sn-ha-ha-hh-007
ET-SN-HA-HA-HH-020,143.0,,et-sn-ha-ha-hh-020
ET-SN-HA-HA-HH-017,144.0,,et-sn-ha-ha-hh-017
ET-AA-YE-Y12H-31,145.0,,et-aa-ye-y12h-31
ER-OR-GU-AT-AH-41,146.0,,er-or-gu-at-ah-41
ET-SN-HA-HA-HH-011,147.0,,et-sn-ha-ha-hh-011
ET-SN-HA-HA-HH-001,148.0,,et-sn-ha-ha-hh-001
ET-SN-HA-HA-HH-007,149.0,,et-sn-ha-ha-hh-007
ET-SN-HA-HA-HH-016,150.0,,et-sn-ha-ha-hh-016
ET-SN-HA-HA-HH-018,151.0,,et-sn-ha-ha-hh-018
ET-SN-HA-HA-HH-014,152.0,,et-sn-ha-ha-hh-014
ET-AA-KK-W10-KHC-11,153.0,,et-aa-kk-w10-khc-11
ET-AA-YE-Y12H-33,154.0,,et-aa-ye-y12h-33
ET-SN-HA-HA-HH-010,155.0,,et-sn-ha-ha-hh-010
ET-SN-HA-HA-HH-005,156.0,,et-sn-ha-ha-hh-005
ET-SN-HA-HA-HH-009,157.0,,et-sn-ha-ha-hh-009
ET-SN-HA-HA-HH-014,158.0,,et-sn-ha-ha-hh-014
ET-SN-HA-HA-HH-018,159.0,,et-sn-ha-ha-hh-018
ET-OR-AR-SH-SH-031,160.0,,et-or-ar-sh-sh-031
ET-AA-KK-W10-KHC-9,161.0,,et-aa-kk-w10-khc-9
ET-AA-KK-W10-KHC-13,162.0,,et-aa-kk-w10-khc-13
ET-AA-KK-W10-KHC-03,163.0,,et-aa-kk-w10-khc-03
ET-SN-HA-HA-HH-002,164.0,,et-sn-ha-ha-hh-002
ET-SN-HA-HA-HH-011,165.0,,et-sn-ha-ha-hh-011
ET-SN-HA-HA-HH-010,166.0,,et-sn-ha-ha-hh-010
ET-SN-HA-HA-HH-004,167.0,,et-sn-ha-ha-hh-004
ET-SN-HA-HA-HH-003,168.0,,et-sn-ha-ha-hh-003
ET-AA-KK-W10-KHC-4,169.0,,et-aa-kk-w10-khc-4
ET-AA-LI-W7-THHC-8,170.0,,et-aa-li-w7-thhc-8
ET-AA-KK-W10-KHC-11,171.0,,et-aa-kk-w10-khc-11
ET-OR-ES-AD-AH-016,172.0,,et-or-es-ad-ah-016
ET-AA-KK-W10-KHC-10,173.0,,et-aa-kk-w10-khc-10
ET-SN-HA-HA-HH-002,174.0,,et-sn-ha-ha-hh-002
ET-SN-HA-HA-HH-005,175.0,,et-sn-ha-ha-hh-005
ET-SN-HA-HA-HH-004,176.0,,et-sn-ha-ha-hh-004
ET-OR-ES-AD-AH-012,177.0,,et-or-es-ad-ah-012
ET-OR-ES-AD-AH-006,178.0,,et-or-es-ad-ah-006
ET-OR-ES-AD-AH-018,179.0,,et-or-es-ad-ah-018
ET-OR-ES-AD-AH-004,180.0,,et-or-es-ad-ah-004
ET-OR-ES-AD-AH-005,181.0,,et-or-es-ad-ah-005
ET-OR-ES-AD-AH-004,182.0,,et-or-es-ad-ah-004
ET-OR-ES-AD-AH-001,183.0,,et-or-es-ad-ah-001
ET-OR-ES-AD-AH-005,184.0,,et-or-es-ad-ah-005
ET-OR-ES-AD-AH-016,185.0,,et-or-es-ad-ah-016
ET-OR-ES-AD-AH-009,186.0,,et-or-es-ad-ah-009
ET-OR-ES-AD-AH-019,187.0,,et-or-es-ad-ah-019
ET-OR-ES-AD-AH-014,188.0,,et-or-es-ad-ah-014
ET-OR-ES-AD-AH-014,189.0,,et-or-es-ad-ah-014
ET-OR-ES-AD-AH-011,190.0,,et-or-es-ad-ah-011
ET-OR-ES-AD-AH-006,191.0,,et-or-es-ad-ah-006
ET-OR-ES-AD-AH-003,192.0,,et-or-es-ad-ah-003
ET-SN-SI-YE-YH-51,193.0,,et-sn-si-ye-yh-51
ET-SN-SI-YE-YH-58,194.0,,et-sn-si-ye-yh-58
ET-SN-SI-YE-YH-91,195.0,,et-sn-si-ye-yh-91
ET-SN-SI-YE-YH-64,196.0,,et-sn-si-ye-yh-64
ET-SN-SI-YE-YH-98,197.0,,et-sn-si-ye-yh-98
ET-AM-BD-AAH-8,198.0,,et-am-bd-aah-8
ET-OR-ES-AD-AH-015,199.0,,et-or-es-ad-ah-015
ET-OR-ES-AD-AH-009,200.0,,et-or-es-ad-ah-009
ET-SN-SI-YE-YH-65,201.0,,et-sn-si-ye-yh-65
ET-SN-SI-YE-YH-100,202.0,,et-sn-si-ye-yh-100
ET-SN-SI-YE-YH-100,203.0,,et-sn-si-ye-yh-100
ET-SN-SI-YE-YH-58,204.0,,et-sn-si-ye-yh-58
ET-SN-SI-YE-YH-98,205.0,,et-sn-si-ye-yh-98
ET-AM-BD-AAH-8,206.0,,et-am-bd-aah-8
ET-OR-ES-AD-AH-010,207.0,,et-or-es-ad-ah-010
