barcode,manifest_sno,freezer_no,normalized_barcode
ET-OR-SWS-BETBH-48,763.0,,et-or-sws-betbh-48
ET-OR-SWS-BETBH-46,764.0,,et-or-sws-betbh-46
ET-OR-SWS-BETBH-48,765.0,,et-or-sws-betbh-48
ET-OR-SWS-BETBH-49,766.0,,et-or-sws-betbh-49
ET-OR-SWS-BETBH-45,767.0,,et-or-sws-betbh-45
ET-OR-SWS-BETBH-53,768.0,,et-or-sws-betbh-53
ET-GA-AN-GA-GH-43,769.0,,et-ga-an-ga-gh-43
ET-GA-AN-GA-GH-91,770.0,,et-ga-an-ga-gh-91
ET-GA-AN-GA-GH-42,771.0,,et-ga-an-ga-gh-42
ET-AA-YE-Y12H-12,772.0,,et-aa-ye-y12h-12
ET-AA-YE-Y12H-13,773.0,,et-aa-ye-y12h-13
ET-AA-YE-Y12H-15,774.0,,et-aa-ye-y12h-15
ET-AA-YE-Y12H-3,775.0,,et-aa-ye-y12h-3
ET-AA-YE-Y12H-19,776.0,,et-aa-ye-y12h-19
ET-GA-AN-GA-GH-79,777.0,,et-ga-an-ga-gh-79
ET-GA-AN-GA-GH-41,778.0,,et-ga-an-ga-gh-41
ET-GA-AN-GA-GH-46,779.0,,et-ga-an-ga-gh-46
ET-AA-YE-Y12H-12,780.0,,et-aa-ye-y12h-12
ET-AA-YE-Y12H-13,781.0,,et-aa-ye-y12h-13
ET-AA-YE-Y12H-17,782.0,,et-aa-ye-y12h-17
ET-AA-YE-Y12H-2,783.0,,et-aa-ye-y12h-2
ET-AA-YE-Y12H-19,784.0,,et-aa-ye-y12h-19
ET-GA-AN-GA-GH-46,785.0,,et-ga-an-ga-gh-46
ET-GA-AN-GA-GH-95,786.0,,et-ga-an-ga-gh-95
ET-GA-AN-GA-GH-54,787.0,,et-ga-an-ga-gh-54
ET-GA-AN-GA-GH-93,788.0,,et-ga-an-ga-gh-93
ET-AA-YE-Y12H-14,789.0,,et-aa-ye-y12h-14
ET-AA-YE-Y12H-5,790.0,,et-aa-ye-y12h-5
ET-AA-YE-Y12H-2,791.0,,et-aa-ye-y12h-2
ET-AA-YE-Y12H-11,792.0,,et-aa-ye-y12h-11
ET-GA-AN-GA-GH-92,793.0,,et-ga-an-ga-gh-92
ET-GA-AN-GA-GH-87,794.0,,et-ga-an-ga-gh-87
ET-GA-AN-GA-GH-28,795.0,,et-ga-an-ga-gh-28
ET-GA-AN-GA-GH-83,796.0,,et-ga-an-ga-gh-83
ET-AA-YE-Y12H-15,797.0,,et-aa-ye-y12h-15
ET-AA-YE-Y12H-6,798.0,,et-aa-ye-y12h-6
ET-AA-YE-Y12H-1,799.0,,et-aa-ye-y12h-1
ET-AA-YE-Y12H-11,800.0,,et-aa-ye-y12h-11
ET-GA-AN-GA-GH-78,801.0,,et-ga-an-ga-gh-78
ET-GA-AN-GA-GH-88,802.0,,et-ga-an-ga-gh-88
ET-GA-AN-GA-GH-30,803.0,,et-ga-an-ga-gh-30
ET-GA-AN-GA-GH-36,804.0,,et-ga-an-ga-gh-36
ET-AA-YE-Y12H-14,805.0,,et-aa-ye-y12h-14
ET-AA-YE-Y12H-4,806.0,,et-aa-ye-y12h-4
ET-AA-YE-Y12H-21,807.0,,et-aa-ye-y12h-21
ET-AA-YE-Y12H-8,808.0,,et-aa-ye-y12h-8
ET-GA-AN-GA-GH-39,809.0,,et-ga-an-ga-gh-39
ET-GA-AN-GA-GH-90,810.0,,et-ga-an-ga-gh-90
ET-GA-AN-GA-GH-37,811.0,,et-ga-an-ga-gh-37
ET-GA-AN-GA-GH-32,812.0,,et-ga-an-ga-gh-32
ET-AA-YE-Y12H-16,813.0,,et-aa-ye-y12h-16
ET-AA-YE-Y12H-7,814.0,,et-aa-ye-y12h-7
ET-AA-YE-Y12H-21,815.0,,et-aa-ye-y12h-21
ET-AA-YE-Y12H-8,816.0,,et-aa-ye-y12h-8
ET-GA=AN-GA-GH-54,817.0,,et-ga=an-ga-gh-54
ET-GA=AN-GA-GH-35,818.0,,et-ga=an-ga-gh-35
ET-GA=AN-GA-GH-33,819.0,,et-ga=an-ga-gh-33
ET-GA=AN-GA-GH-31,820.0,,et-ga=an-ga-gh-31
ET-AA-YE-Y12H-17,821.0,,et-aa-ye-y12h-17
ET-AA-YE-Y12H-1,822.0,,et-aa-ye-y12h-1
ET-AA-YE-Y12H-20,823.0,,et-aa-ye-y12h-20
ET-AA-YE-Y12H-10,824.0,,et-aa-ye-y12h-10
ET-GA-AN-GA-GH-42,825.0,,et-ga-an-ga-gh-42
ET-GA-AN-GA-GH-35,826.0,,et-ga-an-ga-gh-35
ET-GA-AN-GA-GH-?,827.0,,et-ga-an-ga-gh-?
ET-GA-AN-GA-GH-8,828.0,,et-ga-an-ga-gh-8
ET-AA-YE-Y12H-16,829.0,,et-aa-ye-y12h-16
ET-AA-YE-Y12H-3,830.0,,et-aa-ye-y12h-3
ET-AA-YE-Y12H-20,831.0,,et-aa-ye-y12h-20
ET-AA-YE-Y12H-10,832.0,,et-aa-ye-y12h-10
ET-SN-BSH-MATH-8,833.0,,et-sn-bsh-math-8
ET-SN-HA-HO-HH-4,834.0,,et-sn-ha-ho-hh-4
ET-SN-HA-HO-HH-8,835.0,,et-sn-ha-ho-hh-8
ET-SN-HA-HO-HH-1,836.0,,et-sn-ha-ho-hh-1
ET-SN-HA-HO-HH-2,837.0,,et-sn-ha-ho-hh-2
ET-OR-GU-AT-ADH-6,838.0,,et-or-gu-at-adh-6
ET-OR-GU-AT-ADH-12,839.0,,et-or-gu-at-adh-12
ET-OR-GU-AT-ADH-17,840.0,,et-or-gu-at-adh-17
ET-SN-BSH-MATH-5,841.0,,et-sn-bsh-math-5
ET-SN-HA-HO-HH-10,842.0,,et-sn-ha-ho-hh-10
ET-SN-HA-HO-HH-12,843.0,,et-sn-ha-ho-hh-12
ET-SN-HA-HO-HH-12,844.0,,et-sn-ha-ho-hh-12
ET-SN-HA-HO-HH-14,845.0,,et-sn-ha-ho-hh-14
ET-OR-GU-AT-ADH-16,846.0,,et-or-gu-at-adh-16
ET-OR-GU-AT-ADH-1,847.0,,et-or-gu-at-adh-1
ET-OR-GU-AT-ADH-1,848.0,,et-or-gu-at-adh-1
ET-SN-BSH-MATH-1,849.0,,et-sn-bsh-math-1
ET-SN-HA-HO-HH-15,850.0,,et-sn-ha-ho-hh-15
ET-SN-HA-HO-HH-11,851.0,,et-sn-ha-ho-hh-11
ET-SN-HA-HO-HH-9,852.0,,et-sn-ha-ho-hh-9
ET-SN-HA-HO-HH-6,853.0,,et-sn-ha-ho-hh-6
ET-SN-HA-HO-HH-5,854.0,,et-sn-ha-ho-hh-5
ET-OR-GU-AT-ADH-11,855.0,,et-or-gu-at-adh-11
ET-OR-GU-AT-ADH-12,856.0,,et-or-gu-at-adh-12
ET-SN-BSH-MASH-4,857.0,,et-sn-bsh-mash-4
ET-GA-AN-GA-GH-94,858.0,,et-ga-an-ga-gh-94
ET-GA-AN-GA-GH-79,859.0,,et-ga-an-ga-gh-79
ET-SN-HA-HO-HH-3,860.0,,et-sn-ha-ho-hh-3
ET-SN-HA-HO-HH-7,861.0,,et-sn-ha-ho-hh-7
ET-SN-HA-HO-HH-14,862.0,,et-sn-ha-ho-hh-14
ET-OR-GU-AT-ADH-17,863.0,,et-or-gu-at-adh-17
ET-OR-GU-AT-ADH-16,864.0,,et-or-gu-at-adh-16
ET-SN-BSH-MATH-3,865.0,,et-sn-bsh-math-3
ET-SN-BSH-MATH-2,866.0,,et-sn-bsh-math-2
ET-SN-BSH-MATH-4,867.0,,et-sn-bsh-math-4
ET-SN-BSH-MATH-6,868.0,,et-sn-bsh-math-6
ET-SN-HA-HO-HH-10,869.0,,et-sn-ha-ho-hh-10
ET-SN-HA-HO-HH-15,870.0,,et-sn-ha-ho-hh-15
ET-OR-GU-AT-ADH-6,871.0,,et-or-gu-at-adh-6
ET-OR-GU-AT-ADH-18,872.0,,et-or-gu-at-adh-18
ET-SN-BSH-MATH-8,873.0,,et-sn-bsh-math-8
ET-SN-BSH-MATH-7,874.0,,et-sn-bsh-math-7
ET-SN-BSH-MATH-7,875.0,,et-sn-bsh-math-7
ET-GA-AN-GA-GH-47,876.0,,et-ga-an-ga-gh-47
ET-GA-AN-GA-GH-90,877.0,,et-ga-an-ga-gh-90
ET-SN-HA-HO-HH-8,878.0,,et-sn-ha-ho-hh-8
ET-SN-HA-HO-HH-5,879.0,,et-sn-ha-ho-hh-5
ET-OR-GU-AT-ADH-11,880.0,,et-or-gu-at-adh-11
ET-SN-BSH-MATH-6,881.0,,et-sn-bsh-math-6
ET-SN-BSH-MATH-5,882.0,,et-sn-bsh-math-5
ET-SN-BSH-MATH-1,883.0,,et-sn-bsh-math-1
ET-SN-BSH-MATH-3,884.0,,et-sn-bsh-math-3
ET-GA=AN-GA-GH-85,885.0,,et-ga=an-ga-gh-85
ET-SN-HA-HO-HH-7,886.0,,et-sn-ha-ho-hh-7
ET-SN-HA-HO-HH-4,887.0,,et-sn-ha-ho-hh-4
ET-OR-GU-AT-ADH-13,888.0,,et-or-gu-at-adh-13
ET-SN-BSH-MATH-2,889.0,,et-sn-bsh-math-2
ET-OR-GU-AT-ADH-87,890.0,,et-or-gu-at-adh-87
ET-OR-GU-AT-ADH-87,891.0,,et-or-gu-at-adh-87
ET-OR-GU-AT-ADH-76,892.0,,et-or-gu-at-adh-76
ET-OR-GU-AT-ADH-85,893.0,,et-or-gu-at-adh-85
ET-OR-GU-AT-ADH-79,894.0,,et-or-gu-at-adh-79
ET-OR-GU-AT-ADH-78,895.0,,et-or-gu-at-adh-78
ET-OR-GU-AT-ADH-7,896.0,,et-or-gu-at-adh-7
ET-AM-NS-SRHC-52,897.0,,et-am-ns-srhc-52
ET-AM-NS-SRHC-37,898.0,,et-am-ns-srhc-37
ET-AM-NS-SRHC-38,899.0,,et-am-ns-srhc-38
ET-AM-NS-SRHC-36,900.0,,et-am-ns-srhc-36
ET-AM-NS-SRHC-49,901.0,,et-am-ns-srhc-49
ET-AM-NS-SRHC-51,902.0,,et-am-ns-srhc-51
ET-AM-NS-SRHC-11,903.0,,et-am-ns-srhc-11
ET-AM-NS-SRHC-7,904.0,,et-am-ns-srhc-7
ET-AM-NS-SRHC-47,905.0,,et-am-ns-srhc-47
ET-AM-NS-SRHC-33,906.0,,et-am-ns-srhc-33
ET-AM-NS-SRHC-32,907.0,,et-am-ns-srhc-32
ET-AM-NS-SRHC-41,908.0,,et-am-ns-srhc-41
ET-AM-NS-SRHC-38,909.0,,et-am-ns-srhc-38
ET-AM-NS-SRHC-52,910.0,,et-am-ns-srhc-52
ET-AM-NS-SRHC-8,911.0,,et-am-ns-srhc-8
ET-AM-NS-SRHC-3,912.0,,et-am-ns-srhc-3
ET-AM-NS-SRHC-46,913.0,,et-am-ns-srhc-46
ET-AM-NS-SRHC-39,914.0,,et-am-ns-srhc-39
ET-AM-NS-SRHC-35,915.0,,et-am-ns-srhc-35
ET-AM-NS-SRHC-44,916.0,,et-am-ns-srhc-44
ET-AM-NS-SRHC-42,917.0,,et-am-ns-srhc-42
ET-AM-NS-SRHC-10,918.0,,et-am-ns-srhc-10
ET-AM-NS-SRHC-5,919.0,,et-am-ns-srhc-5
ET-AM-NS-SRHC-8,920.0,,et-am-ns-srhc-8
ET-AM-NS-SRHC-44,921.0,,et-am-ns-srhc-44
ET-AM-NS-SRHC-40,922.0,,et-am-ns-srhc-40
ET-AM-NS-SRHC-47,923.0,,et-am-ns-srhc-47
ET-AM-NS-SRHC-34,924.0,,et-am-ns-srhc-34
ET-AM-NS-SRHC-51,925.0,,et-am-ns-srhc-51
ET-AM-NS-SRHC-12,926.0,,et-am-ns-srhc-12
ET-AM-NS-SRHC-4,927.0,,et-am-ns-srhc-4
ET-AM-NS-SRHC-2,928.0,,et-am-ns-srhc-2
ET-AM-NS-SRHC-45,929.0,,et-am-ns-srhc-45
ET-AM-NS-SRHC-49,930.0,,et-am-ns-srhc-49
ET-AM-NS-SRHC-37,931.0,,et-am-ns-srhc-37
ET-AM-NS-SRHC-32,932.0,,et-am-ns-srhc-32
ET-AM-NS-SRHC-35,933.0,,et-am-ns-srhc-35
ET-AM-NS-SRHC-13,934.0,,et-am-ns-srhc-13
ET-AM-NS-SRHC-1,935.0,,et-am-ns-srhc-1
ET-AM-NS-SRHC-4,936.0,,et-am-ns-srhc-4
ET-AM-NS-SRHC-45,937.0,,et-am-ns-srhc-45
ET-AM-NS-SRHC-39,938.0,,et-am-ns-srhc-39
ET-AM-NS-SRHC-41,939.0,,et-am-ns-srhc-41
ET-AM-NS-SRHC-42,940.0,,et-am-ns-srhc-42
ET-AM-NS-SRHC-50,941.0,,et-am-ns-srhc-50
ET-AM-NS-SRHC-5,942.0,,et-am-ns-srhc-5
ET-AM-NS-SRHC-2,943.0,,et-am-ns-srhc-2
ET-AM-NS-SRHC-13,944.0,,et-am-ns-srhc-13
ET-AM-NS-SRHC-34,945.0,,et-am-ns-srhc-34
ET-AM-NS-SRHC-46,946.0,,et-am-ns-srhc-46
ET-AM-NS-SRHC-40,947.0,,et-am-ns-srhc-40
ET-AM-NS-SRHC-43,948.0,,et-am-ns-srhc-43
ET-AM-NS-SRHC-43,949.0,,et-am-ns-srhc-43
ET-AM-NS-SRHC-1,950.0,,et-am-ns-srhc-1
ET-AM-NS-SRHC-14,951.0,,et-am-ns-srhc-14
ET-AM-NS-SRHC-3,952.0,,et-am-ns-srhc-3
ET-AM-NS-SRHC-36,953.0,,et-am-ns-srhc-36
ET-AM-NS-SRHC-48,954.0,,et-am-ns-srhc-48
ET-AM-NS-SRHC-48,955.0,,et-am-ns-srhc-48
ET-AM-NS-SRHC-50,956.0,,et-am-ns-srhc-50
ET-AM-NS-SRHC-33,957.0,,et-am-ns-srhc-33
ET-AM-NS-SRHC-14,958.0,,et-am-ns-srhc-14
ET-AM-NS-SRHC-6,959.0,,et-am-ns-srhc-6
ET-AM-NS-SRHC-6,960.0,,et-am-ns-srhc-6
ET-SN-SI-YE-YH-71,961.0,,et-sn-si-ye-yh-71
ET-SN-SI-YE-YH-76,962.0,,et-sn-si-ye-yh-76
ET-SN-SI-YE-YH-10,963.0,,et-sn-si-ye-yh-10
ET-SN-SI-YE-YH-18,964.0,,et-sn-si-ye-yh-18
ET-SN-SI-YE-YH-4,965.0,,et-sn-si-ye-yh-4
ET-SN-SI-YE-YH-88,966.0,,et-sn-si-ye-yh-88
ET-SN-SI-YE-YH-11,967.0,,et-sn-si-ye-yh-11
ET-SN-SI-YE-YH-5,968.0,,et-sn-si-ye-yh-5
ET-SN-SI-YE-YH-102,969.0,,et-sn-si-ye-yh-102
ET-SN-SI-YE-YH-12,970.0,,et-sn-si-ye-yh-12
ET-SN-SI-YE-YH-9,971.0,,et-sn-si-ye-yh-9
ET-SN-SI-YE-YH-11,972.0,,et-sn-si-ye-yh-11
ET-SN-SI-YE-YH-17,973.0,,et-sn-si-ye-yh-17
ET-SN-SI-YE-YH-82,974.0,,et-sn-si-ye-yh-82
ET-SN-SI-YE-YH-5,975.0,,et-sn-si-ye-yh-5
ET-SN-SI-YE-YH-77,976.0,,et-sn-si-ye-yh-77
ET-SN-SI-YE-YH-95,977.0,,et-sn-si-ye-yh-95
ET-SN-SI-YE-YH-101,978.0,,et-sn-si-ye-yh-101
ET-SN-SI-YE-YH-93,979.0,,et-sn-si-ye-yh-93
ET-SN-SI-YE-YH-69,980.0,,et-sn-si-ye-yh-69
ET-SN-SI-YE-YH-16,981.0,,et-sn-si-ye-yh-16
ET-SN-SI-YE-YH-86,982.0,,et-sn-si-ye-yh-86
ET-SN-SI-YE-YH-18,983.0,,et-sn-si-ye-yh-18
ET-SN-SI-YE-YH-78,984.0,,et-sn-si-ye-yh-78
ET-SN-SI-YE-YH-92,985.0,,et-sn-si-ye-yh-92
ET-SN-SI-YE-YH-69,986.0,,et-sn-si-ye-yh-69
ET-SN-SI-YE-YH-75,987.0,,et-sn-si-ye-yh-75
ET-SN-SI-YE-YH-7,988.0,,et-sn-si-ye-yh-7
ET-SN-SI-YE-YH-8,989.0,,et-sn-si-ye-yh-8
ET-SN-SI-YE-YH-80,990.0,,et-sn-si-ye-yh-80
ET-SN-SI-YE-YH-70,991.0,,et-sn-si-ye-yh-70
ET-SN-SI-YE-YH-79,992.0,,et-sn-si-ye-yh-79
ET-SN-SI-YE-YH-14,993.0,,et-sn-si-ye-yh-14
ET-SN-SI-YE-YH-90,994.0,,et-sn-si-ye-yh-90
ET-SN-SI-YE-YH-61,995.0,,et-sn-si-ye-yh-61
ET-SN-SI-YE-YH-71,996.0,,et-sn-si-ye-yh-71
ET-SN-SI-YE-YH-90,997.0,,et-sn-si-ye-yh-90
ET-SN-SI-YE-YH-85,998.0,,et-sn-si-ye-yh-85
ET-SN-SI-YE-YH-87,999.0,,et-sn-si-ye-yh-87
ET-SN-SI-YE-YH-88,1000.0,,et-sn-si-ye-yh-88
ET-SN-SI-YE-YH-104,1001.0,,et-sn-si-ye-yh-104
ET-SN-SI-YE-YH-61,1002.0,,et-sn-si-ye-yh-61
ET-SN-SI-YE-YH-73,1003.0,,et-sn-si-ye-yh-73
ET-SN-SI-YE-YH-80,1004.0,,et-sn-si-ye-yh-80
ET-SN-SI-YE-YH-70,1005.0,,et-sn-si-ye-yh-70
ET-SN-SI-YE-YH-79,1006.0,,et-sn-si-ye-yh-79
ET-SN-SI-YE-YH-75,1007.0,,et-sn-si-ye-yh-75
ET-SN-SI-YE-YH-12,1008.0,,et-sn-si-ye-yh-12
ET-SN-SI-YE-YH-92,1009.0,,et-sn-si-ye-yh-92
ET-SN-SI-YE-YH-106,1010.0,,et-sn-si-ye-yh-106
ET-SN-SI-YE-YH-72,1011.0,,et-sn-si-ye-yh-72
ET-SN-SI-YE-YH-74,1012.0,,et-sn-si-ye-yh-74
ET-SN-SI-YE-YH-87,1013.0,,et-sn-si-ye-yh-87
ET-SN-SI-YE-YH-6,1014.0,,et-sn-si-ye-yh-6
ET-SN-SI-YE-YH-68,1015.0,,et-sn-si-ye-yh-68
ET-SN-SI-YE-YH-13,1016.0,,et-sn-si-ye-yh-13
ET-SN-SI-YE-YH-93,1017.0,,et-sn-si-ye-yh-93
ET-SN-SI-YE-YH-106,1018.0,,et-sn-si-ye-yh-106
ET-SN-SI-YE-YH-76,1019.0,,et-sn-si-ye-yh-76
ET-SN-SI-YE-YH-83,1020.0,,et-sn-si-ye-yh-83
ET-SN-SI-YE-YH-14,1021.0,,et-sn-si-ye-yh-14
ET-SN-SI-YE-YH-6,1022.0,,et-sn-si-ye-yh-6
ET-SN-SI-YE-YH-10,1023.0,,et-sn-si-ye-yh-10
ET-SN-SI-YE-YH-19,1024.0,,et-sn-si-ye-yh-19
ET-AM-NS-SR-SRHC-7,1025.0,,et-am-ns-sr-srhc-7
ET-AM-NS-SR-SRHC-3,1026.0,,et-am-ns-sr-srhc-3
ET-AM-NS-SR-SRHC-8,1027.0,,et-am-ns-sr-srhc-8
ET-AM-NS-SR-SRHC-2,1028.0,,et-am-ns-sr-srhc-2
ET-AM-NS-SR-SRHC-4,1029.0,,et-am-ns-sr-srhc-4
ET-AM-NS-SR-SRHC-13,1030.0,,et-am-ns-sr-srhc-13
ET-AM-NS-SR-SRHC-3,1031.0,,et-am-ns-sr-srhc-3
ET-AM-NS-SR-SRHC-6,1032.0,,et-am-ns-sr-srhc-6
ET-AM-NS-SR-SRHC-11,1033.0,,et-am-ns-sr-srhc-11
ET-AM-NS-SR-SRHC-8,1034.0,,et-am-ns-sr-srhc-8
ET-AM-NS-SR-SRHC-5,1035.0,,et-am-ns-sr-srhc-5
ET-AM-NS-SR-SRHC-4,1036.0,,et-am-ns-sr-srhc-4
ET-AM-NS-SR-SRHC-1,1037.0,,et-am-ns-sr-srhc-1
ET-AM-NS-SR-SRHC-2,1038.0,,et-am-ns-sr-srhc-2
ET-AM-NS-SR-SRHC-14,1039.0,,et-am-ns-sr-srhc-14
ET-AM-NS-SR-SRHC-6,1040.0,,et-am-ns-sr-srhc-6
ET-AM-NS-SR-SRHC-51,1041.0,,et-am-ns-sr-srhc-51
ET-AM-NS-SR-SRHC-52,1042.0,,et-am-ns-sr-srhc-52
ET-AM-NS-SR-SRHC-10,1043.0,,et-am-ns-sr-srhc-10
ET-AM-NS-SR-SRHC-12,1044.0,,et-am-ns-sr-srhc-12
ET-AM-NS-SR-SRHC-13,1045.0,,et-am-ns-sr-srhc-13
ET-AM-NS-SR-SRHC-5,1046.0,,et-am-ns-sr-srhc-5
ET-AM-NS-SR-SRHC-1,1047.0,,et-am-ns-sr-srhc-1
ET-AM-NS-SR-SRHC-14,1048.0,,et-am-ns-sr-srhc-14
ET-AM-NS-SR-SRHC-49,1049.0,,et-am-ns-sr-srhc-49
ET-AM-NS-SR-SRHC-38,1050.0,,et-am-ns-sr-srhc-38
ET-AM-NS-SR-SRHC-42,1051.0,,et-am-ns-sr-srhc-42
ET-AM-NS-SR-SRHC-51,1052.0,,et-am-ns-sr-srhc-51
ET-AM-NS-SR-SRHC-35,1053.0,,et-am-ns-sr-srhc-35
ET-AM-NS-SR-SRHC-50,1054.0,,et-am-ns-sr-srhc-50
ET-AM-NS-SR-SRHC-43,1055.0,,et-am-ns-sr-srhc-43
ET-AM-NS-SR-SRHC-33,1056.0,,et-am-ns-sr-srhc-33
ET-AM-NS-SR-SRHC-36,1057.0,,et-am-ns-sr-srhc-36
ET-AM-NS-SR-SRHC-41,1058.0,,et-am-ns-sr-srhc-41
ET-AM-NS-SR-SRHC-44,1059.0,,et-am-ns-sr-srhc-44
ET-AM-NS-SR-SRHC-34,1060.0,,et-am-ns-sr-srhc-34
ET-AM-NS-SR-SRHC-32,1061.0,,et-am-ns-sr-srhc-32
ET-AM-NS-SR-SRHC-42,1062.0,,et-am-ns-sr-srhc-42
ET-AM-NS-SR-SRHC-43,1063.0,,et-am-ns-sr-srhc-43
ET-AM-NS-SR-SRHC-50,1064.0,,et-am-ns-sr-srhc-50
ET-AM-NS-SR-SRHC-38,1065.0,,et-am-ns-sr-srhc-38
ET-AM-NS-SR-SRHC-32,1066.0,,et-am-ns-sr-srhc-32
ET-AM-NS-SR-SRHC-35,1067.0,,et-am-ns-sr-srhc-35
ET-AM-NS-SR-SRHC-47,1068.0,,et-am-ns-sr-srhc-47
ET-AM-NS-SR-SRHC-37,1069.0,,et-am-ns-sr-srhc-37
ET-AM-NS-SR-SRHC-41,1070.0,,et-am-ns-sr-srhc-41
ET-AM-NS-SR-SRHC-40,1071.0,,et-am-ns-sr-srhc-40
ET-AM-NS-SR-SRHC-48,1072.0,,et-am-ns-sr-srhc-48
ET-AM-NS-SR-SRHC-37,1073.0,,et-am-ns-sr-srhc-37
ET-AM-NS-SR-SRHC-33,1074.0,,et-am-ns-sr-srhc-33
ET-AM-NS-SR-SRHC-39,1075.0,,et-am-ns-sr-srhc-39
ET-AM-NS-SR-SRHC-40,1076.0,,et-am-ns-sr-srhc-40
ET-AM-NS-SR-SRHC-49,1077.0,,et-am-ns-sr-srhc-49
ET-AM-NS-SR-SRHC-39,1078.0,,et-am-ns-sr-srhc-39
ET-AM-NS-SR-SRHC-46,1079.0,,et-am-ns-sr-srhc-46
ET-AM-NS-SR-SRHC-48,1080.0,,et-am-ns-sr-srhc-48
ET-AM-NS-SR-SRHC-52,1081.0,,et-am-ns-sr-srhc-52
ET-AM-NS-SR-SRHC-47,1082.0,,et-am-ns-sr-srhc-47
ET-AM-NS-SR-SRHC-46,1083.0,,et-am-ns-sr-srhc-46
ET-AM-NS-SR-SRHC-44,1084.0,,et-am-ns-sr-srhc-44
ET-AM-NS-SR-SRHC-45,1085.0,,et-am-ns-sr-srhc-45
ET-AM-NS-SR-SRHC-45,1086.0,,et-am-ns-sr-srhc-45
ET-AM-NS-SR-SRHC-34,1087.0,,et-am-ns-sr-srhc-34
ET-AM-NS-SR-SRHC-36,1088.0,,et-am-ns-sr-srhc-36
ET-OR-SWS-BE-TBH-62,1089.0,,et-or-sws-be-tbh-62
ET-OR-SWS-BE-TBH-9,1090.0,,et-or-sws-be-tbh-9
ET-OR-SWS-BE-TBH-58,1091.0,,et-or-sws-be-tbh-58
ET-OR-SWS-BE-TBH-18,1092.0,,et-or-sws-be-tbh-18
ET-OR-SWS-BE-TBH-61,1093.0,,et-or-sws-be-tbh-61
ET-OR-SWS-BE-TBH-56,1094.0,,et-or-sws-be-tbh-56
ET-OR-SWS-BE-TBH-61,1095.0,,et-or-sws-be-tbh-61
ET-OR-SWS-BE-TBH-54,1096.0,,et-or-sws-be-tbh-54
ET-OR-SWS-BE-TBH-2,1097.0,,et-or-sws-be-tbh-2
ET-OR-SWS-BE-TBH-60,1098.0,,et-or-sws-be-tbh-60
ET-OR-SWS-BE-TBH-63,1099.0,,et-or-sws-be-tbh-63
ET-OR-SWS-BE-TBH-55,1100.0,,et-or-sws-be-tbh-55
ET-OR-SWS-BE-TBH-62,1101.0,,et-or-sws-be-tbh-62
ET-OR-SWS-BE-TBH-54,1102.0,,et-or-sws-be-tbh-54
ET-OR-SWS-BE-TBH-57,1103.0,,et-or-sws-be-tbh-57
ET-OR-SWS-BE-TBH-59,1104.0,,et-or-sws-be-tbh-59
ET-OR-SWS-BE-TBH-8,1105.0,,et-or-sws-be-tbh-8
ET-OR-SWS-BE-TBH-5,1106.0,,et-or-sws-be-tbh-5
ET-OR-SWS-BE-TBH-11,1107.0,,et-or-sws-be-tbh-11
ET-OR-SWS-BE-TBH-3,1108.0,,et-or-sws-be-tbh-3
ET-OR-SWS-BE-TBH-57,1109.0,,et-or-sws-be-tbh-57
ET-OR-SWS-BE-TBH-11,1110.0,,et-or-sws-be-tbh-11
ET-OR-SWS-BE-TBH-5,1111.0,,et-or-sws-be-tbh-5
ET-OR-SWS-BE-TBH-25,1112.0,,et-or-sws-be-tbh-25
ET-OR-SWS-BE-TBH-4,1113.0,,et-or-sws-be-tbh-4
ET-OR-SWS-BE-TBH-1,1114.0,,et-or-sws-be-tbh-1
ET-OR-SWS-BE-TBH-59,1115.0,,et-or-sws-be-tbh-59
ET-OR-SWS-BE-TBH-7,1116.0,,et-or-sws-be-tbh-7
ET-OR-SWS-BE-TBH-8,1117.0,,et-or-sws-be-tbh-8
ET-OR-SWS-BE-TBH-17,1118.0,,et-or-sws-be-tbh-17
ET-OR-SWS-BE-TBH-6,1119.0,,et-or-sws-be-tbh-6
ET-OR-SWS-BE-TBH-4,1120.0,,et-or-sws-be-tbh-4
ET-OR-SWS-BE-TBH-13,1121.0,,et-or-sws-be-tbh-13
ET-OR-SWS-BE-TBH-3,1122.0,,et-or-sws-be-tbh-3
ET-OR-SWS-BE-TBH-9,1123.0,,et-or-sws-be-tbh-9
ET-OR-SWS-BE-TBH-10,1124.0,,et-or-sws-be-tbh-10
ET-OR-SWS-BE-TBH-7,1125.0,,et-or-sws-be-tbh-7
ET-OR-SWS-BE-TBH-13,1126.0,,et-or-sws-be-tbh-13
ET-OR-SWS-BE-TBH-2,1127.0,,et-or-sws-be-tbh-2
ET-OR-SWS-BE-TBH-1,1128.0,,et-or-sws-be-tbh-1
ET-OR-SWS-BE-TBH-21,1129.0,,et-or-sws-be-tbh-21
ET-OR-SWS-BE-TBH-21,1130.0,,et-or-sws-be-tbh-21
ET-OR-SWS-BE-TBH-15,1131.0,,et-or-sws-be-tbh-15
ET-OR-SWS-BE-TBH-23,1132.0,,et-or-sws-be-tbh-23
ET-OR-SWS-BE-TBH-15,1133.0,,et-or-sws-be-tbh-15
ET-OR-SWS-BE-TBH-24,1134.0,,et-or-sws-be-tbh-24
ET-OR-SWS-BE-TBH-14,1135.0,,et-or-sws-be-tbh-14
ET-OR-SWS-BE-TBH-14,1136.0,,et-or-sws-be-tbh-14
