barcode,manifest_sno
ET-OR-AR-SH-SH-010,674
ET-OR-AR-SH-SH-012,675
ET-OR-AR-SH-SH-001,676
ET-OR-AR-SH-SH-003,677
ET-OR-AR-SH-SH-006,678
ET-OR-AR-SH-SH-021,679
ET-OR-AR-SH-SH-019,680
ET-OR-AR-SH-SH-016,682
ET-OR-AR-SH-SH-004,683
ET-OR-AR-SH-SH-013,684
ET-OR-AR-SH-SH-018,688
ET-OR-AR-SH-SH-022,693
ET-OR-AR-SH-SH-020,694
ET-OR-AR-SH-SH-023,695
ET-OR-AR-SH-SH-017,696
ET-OR-AR-SH-SH-030,697
ET-OR-AR-SH-SH-026,698
ET-OR-AR-SH-SH-025,700
ET-OR-AR-SH-SH-029,701
ET-OR-AR-SH-SH-028,702
ET-OR-AR-SH-SH-027,703
ET-OR-AR-SH-SH-024,704
ET-GA-AN-GA-GH-85,718
ET-GA-AN-GA-GH-84,721
ET-GA-AN-GA-GH-52,727
ET-GA-AN-GA-GH-50,729
ET-GA-AN-GA-GH-44,730
ET-GA-AN-GA-GH-89,733
ET-GA-AN-GA-GH-77,735
ET-GA-AN-GA-GH-86,737
ET-GA-AN-GA-GH-40,738
ET-GA-AN-GA-GH-51,739
ET-GA-AN-GA-GH-49,740
ET-GA-AN-GA-GH-48,741
ET-GA-AN-GA-GH-53,744
ET-OR-SWS-BETBH-52,748
ET-OR-SWS-BETBH-42,749
ET-OR-SWS-BETBH-50,752
ET-OR-SWS-BETBH-44,753
ET-OR-SWS-BETBH-51,755
ET-OR-SWS-BETBH-47,758
ET-OR-SWS-BETBH-41,760
ET-OR-SWS-BETBH-43,761
ET-OR-SWS-BETBH-46,764
ET-OR-SWS-BETBH-48,765
ET-OR-SWS-BETBH-49,766
ET-OR-SWS-BETBH-45,767
ET-OR-SWS-BETBH-53,768
ET-GA-AN-GA-GH-43,769
ET-GA-AN-GA-GH-91,770
ET-GA-AN-GA-GH-41,778
ET-AA-YE-Y12H-12,780
ET-AA-YE-Y12H-13,781
ET-AA-YE-Y12H-19,784
ET-GA-AN-GA-GH-46,785
ET-GA-AN-GA-GH-95,786
ET-GA-AN-GA-GH-54,787
ET-GA-AN-GA-GH-93,788
ET-AA-YE-Y12H-5,790
ET-AA-YE-Y12H-2,791
ET-GA-AN-GA-GH-87,794
ET-GA-AN-GA-GH-28,795
ET-AA-YE-Y12H-15,797
ET-AA-YE-Y12H-6,798
ET-AA-YE-Y12H-11,800
ET-GA-AN-GA-GH-78,801
ET-GA-AN-GA-GH-88,802
ET-GA-AN-GA-GH-30,803
ET-AA-YE-Y12H-14,805
ET-AA-YE-Y12H-4,806
ET-GA-AN-GA-GH-39,809
ET-GA-AN-GA-GH-37,811
ET-GA-AN-GA-GH-32,812
ET-AA-YE-Y12H-7,814
ET-AA-YE-Y12H-21,815
ET-AA-YE-Y12H-8,816
ET-GA=AN-GA-GH-54,817
ET-GA=AN-GA-GH-35,818
ET-GA=AN-GA-GH-33,819
ET-GA=AN-GA-GH-31,820
ET-AA-YE-Y12H-17,821
ET-AA-YE-Y12H-1,822
ET-GA-AN-GA-GH-42,825
ET-GA-AN-GA-GH-35,826
ET-GA-AN-GA-GH-?,827
ET-GA-AN-GA-GH-8,828
ET-AA-YE-Y12H-16,829
ET-AA-YE-Y12H-3,830
ET-AA-YE-Y12H-20,831
ET-AA-YE-Y12H-10,832
ET-SN-HA-HO-HH-1,836
ET-SN-HA-HO-HH-2,837
ET-SN-HA-HO-HH-12,844
ET-OR-GU-AT-ADH-1,848
ET-SN-HA-HO-HH-11,851
ET-SN-HA-HO-HH-9,852
ET-SN-HA-HO-HH-6,853
ET-SN-BSH-MASH-4,857
ET-GA-AN-GA-GH-94,858
ET-GA-AN-GA-GH-79,859
ET-SN-HA-HO-HH-3,860
ET-SN-HA-HO-HH-14,862
ET-OR-GU-AT-ADH-17,863
ET-OR-GU-AT-ADH-16,864
ET-SN-BSH-MATH-4,867
ET-SN-HA-HO-HH-10,869
ET-SN-HA-HO-HH-15,870
ET-OR-GU-AT-ADH-6,871
ET-SN-BSH-MATH-8,873
ET-SN-BSH-MATH-7,875
ET-GA-AN-GA-GH-47,876
ET-GA-AN-GA-GH-90,877
ET-SN-HA-HO-HH-8,878
ET-SN-HA-HO-HH-5,879
ET-OR-GU-AT-ADH-11,880
ET-SN-BSH-MATH-6,881
ET-SN-BSH-MATH-5,882
ET-SN-BSH-MATH-1,883
ET-SN-BSH-MATH-3,884
ET-GA=AN-GA-GH-85,885
ET-SN-HA-HO-HH-7,886
ET-SN-HA-HO-HH-4,887
ET-SN-BSH-MATH-2,889
ET-OR-GU-AT-ADH-87,891
ET-OR-GU-AT-ADH-76,892
ET-OR-GU-AT-ADH-85,893
ET-OR-GU-AT-ADH-79,894
ET-OR-GU-AT-ADH-78,895
ET-AM-NS-SRHC-11,903
ET-AM-NS-SRHC-7,904
ET-AM-NS-SRHC-38,909
ET-AM-NS-SRHC-52,910
ET-AM-NS-SRHC-10,918
ET-AM-NS-SRHC-8,920
ET-AM-NS-SRHC-44,921
ET-AM-NS-SRHC-47,923
ET-AM-NS-SRHC-51,925
ET-AM-NS-SRHC-12,926
ET-AM-NS-SRHC-49,930
ET-AM-NS-SRHC-37,931
ET-AM-NS-SRHC-32,932
ET-AM-NS-SRHC-35,933
ET-AM-NS-SRHC-4,936
ET-AM-NS-SRHC-45,937
ET-AM-NS-SRHC-39,938
ET-AM-NS-SRHC-41,939
ET-AM-NS-SRHC-42,940
ET-AM-NS-SRHC-5,942
ET-AM-NS-SRHC-2,943
ET-AM-NS-SRHC-13,944
ET-AM-NS-SRHC-34,945
ET-AM-NS-SRHC-46,946
ET-AM-NS-SRHC-40,947
ET-AM-NS-SRHC-43,949
ET-AM-NS-SRHC-1,950
ET-AM-NS-SRHC-3,952
ET-AM-NS-SRHC-36,953
ET-AM-NS-SRHC-48,955
ET-AM-NS-SRHC-50,956
ET-AM-NS-SRHC-33,957
ET-AM-NS-SRHC-14,958
ET-AM-NS-SRHC-6,960
ET-SN-SI-YE-YH-4,965
ET-SN-SI-YE-YH-102,969
ET-SN-SI-YE-YH-9,971
ET-SN-SI-YE-YH-11,972
ET-SN-SI-YE-YH-5,975
ET-SN-SI-YE-YH-77,976
ET-SN-SI-YE-YH-95,977
ET-SN-SI-YE-YH-101,978
ET-SN-SI-YE-YH-86,982
ET-SN-SI-YE-YH-18,983
ET-SN-SI-YE-YH-78,984
ET-SN-SI-YE-YH-69,986
ET-SN-SI-YE-YH-8,989
ET-SN-SI-YE-YH-71,996
ET-SN-SI-YE-YH-90,997
ET-SN-SI-YE-YH-85,998
ET-SN-SI-YE-YH-88,1000
ET-SN-SI-YE-YH-61,1002
ET-SN-SI-YE-YH-80,1004
ET-SN-SI-YE-YH-70,1005
ET-SN-SI-YE-YH-79,1006
ET-SN-SI-YE-YH-75,1007
ET-SN-SI-YE-YH-12,1008
ET-SN-SI-YE-YH-92,1009
ET-SN-SI-YE-YH-74,1012
ET-SN-SI-YE-YH-87,1013
ET-SN-SI-YE-YH-68,1015
ET-SN-SI-YE-YH-13,1016
ET-SN-SI-YE-YH-93,1017
ET-SN-SI-YE-YH-106,1018
ET-SN-SI-YE-YH-76,1019
ET-SN-SI-YE-YH-14,1021
ET-SN-SI-YE-YH-6,1022
ET-SN-SI-YE-YH-10,1023
ET-AM-NS-SR-SRHC-7,1025
ET-AM-NS-SR-SRHC-3,1031
ET-AM-NS-SR-SRHC-8,1034
ET-AM-NS-SR-SRHC-4,1036
ET-AM-NS-SR-SRHC-2,1038
ET-AM-NS-SR-SRHC-6,1040
ET-AM-NS-SR-SRHC-12,1044
ET-AM-NS-SR-SRHC-13,1045
ET-AM-NS-SR-SRHC-5,1046
ET-AM-NS-SR-SRHC-1,1047
ET-AM-NS-SR-SRHC-14,1048
ET-AM-NS-SR-SRHC-51,1052
ET-AM-NS-SR-SRHC-42,1062
ET-AM-NS-SR-SRHC-43,1063
ET-AM-NS-SR-SRHC-50,1064
ET-AM-NS-SR-SRHC-32,1066
ET-AM-NS-SR-SRHC-35,1067
ET-AM-NS-SR-SRHC-41,1070
ET-AM-NS-SR-SRHC-37,1073
ET-AM-NS-SR-SRHC-33,1074
ET-AM-NS-SR-SRHC-40,1076
ET-AM-NS-SR-SRHC-49,1077
ET-AM-NS-SR-SRHC-39,1078
ET-AM-NS-SR-SRHC-48,1080
ET-AM-NS-SR-SRHC-52,1081
ET-AM-NS-SR-SRHC-47,1082
ET-AM-NS-SR-SRHC-46,1083
ET-AM-NS-SR-SRHC-44,1084
ET-AM-NS-SR-SRHC-45,1086
ET-AM-NS-SR-SRHC-34,1087
ET-AM-NS-SR-SRHC-36,1088
ET-OR-SWS-BE-TBH-58,1091
ET-OR-SWS-BE-TBH-61,1095
ET-OR-SWS-BE-TBH-62,1101
ET-OR-SWS-BE-TBH-54,1102
ET-OR-SWS-BE-TBH-57,1109
ET-OR-SWS-BE-TBH-11,1110
ET-OR-SWS-BE-TBH-5,1111
ET-OR-SWS-BE-TBH-59,1115
ET-OR-SWS-BE-TBH-8,1117
ET-OR-SWS-BE-TBH-4,1120
ET-OR-SWS-BE-TBH-3,1122
ET-OR-SWS-BE-TBH-9,1123
ET-OR-SWS-BE-TBH-10,1124
ET-OR-SWS-BE-TBH-7,1125
ET-OR-SWS-BE-TBH-13,1126
ET-OR-SWS-BE-TBH-2,1127
ET-OR-SWS-BE-TBH-1,1128
ET-OR-SWS-BE-TBH-21,1130
ET-OR-SWS-BE-TBH-15,1133
ET-OR-SWS-BE-TBH-14,1136
ET-OR-SWS-BE-TBH-18,1138
ET-OR-SWS-BE-TBH-24,1140
ET-OR-SWS-BE-TBH-16,1141
ET-OR-SWS-BE-TBH-23,1142
ET-OR-SWS-BE-TBH-19,1143
ET-OR-SWS-BE-TBH-25,1144
ET-OR-SWS-BE-TBH-12,1146
ET-OR-SWS-BE-TBH-20,1147
ET-OR-SWS-BE-TBH-60,1148
ET-OR-SWS-BE-TBH-6,1150
ET-OR-SWS-BE-TBH-22,1151
ET-OR-SWS-BE-TBH-17,1152
ET-SN-SI-YE-YH-39,1153
ET-SN-SI-YE-YH-30,1154
ET-SN-SI-YE-YH-36,1156
ET-SN-SI-YE-YH-17,1157
ET-AM-NS-SR-SRHC-11,1160
ET-SN-SI-YE-YH-83,1161
ET-SN-SI-YE-YH-40,1162
ET-SN-SI-YE-YH-43,1163
ET-SN-SI-YE-YH-21,1164
ET-SN-SI-YE-YH-16,1165
ET-AA-KK-KE-HC-4,1167
ET-SN-SI-YE-YH-19,1168
ET-SN-SI-YE-YH-41,1169
ET-SN-SI-YE-YH-84,1172
ET-AA-KK-KE-HC-2,1174
ET-AA-KK-MK-HC-2,1175
ET-SN-SI-YE-YH-104,1176
ET-SN-SI-YE-YH-27,1177
ET-SN-SI-YE-YH-45,1178
ET-SN-SI-YE-YH-46,1179
ET-AA-KK-W3-HC-5,1181
ET-AA-KK-KE-HC-1,1183
ET-SN-SI-YE-YH-7,1184
ET-SN-SI-YE-YH-49,1186
ET-AA-KK--W3-HC-5,1189
ET-AA-KK-W3-HC-3,1191
ET-SN-SI-YE-YH-96,1192
ET-SN-SI-YE-YH-29,1194
ET-SN-SI-YE-YH-38,1195
ET-SN-SI-YE-YH-31,1196
ET-AA-KK-W3-HC-2,1199
ET-SN-SI-YE-YH-73,1200
ET-SN-SI-YE-YH-34,1202
ET-SN-SI-YE-YH-33,1203
ET-SN-SI-YE-YH-60,1204
ET-AA-KK-W3-HC-1,1206
ET-SN-SI-YE-YH-72,1208
ET-SN-SI-YE-YH-28,1209
ET-SN-SI-YE-YH-37,1210
ET-SN-SI-YE-YH-47,1211
ET-SN-SI-YE-YH-50,1212
ET-AA-AK-AK-HC-1,1213
ET-AA-KK-MK-HC-1,1214
ET-AA-KK-W3-HC-4,1215
ET-SN-SI-YE-YH-15,1216
ET-AF-ZN3-AK-A7HC-5,1219
